ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,24,2,2023-11-12,UNC Asheville,,Tennessee State,REG (Non-Conf),W 53-38,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Jada Brigman,https://www.sports-reference.com/cbb/players/jada-brigman-1.html,north-carolina-asheville,2023-24
2,25,3,2023-11-14,UNC Asheville,@,Charlotte,REG (Non-Conf),L 51-67,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Jada Brigman,https://www.sports-reference.com/cbb/players/jada-brigman-1.html,north-carolina-asheville,2023-24
3,26,4,2023-11-21,UNC Asheville,,Queens (NC),REG (Non-Conf),W 67-53,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3,Jada Brigman,https://www.sports-reference.com/cbb/players/jada-brigman-1.html,north-carolina-asheville,2023-24
