ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,19,2,2024-11-12,Fairfield,,Richmond,REG (Non-Conf),L 39-62,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Casey Prior,https://www.sports-reference.com/cbb/players/casey-prior-1.html,fairfield,2024-25
2,20,4,2024-11-20,Fairfield,,Central Connecticut State,REG (Non-Conf),W 82-54,,4,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0,0,-1.0,Casey Prior,https://www.sports-reference.com/cbb/players/casey-prior-1.html,fairfield,2024-25
3,21,5,2024-11-25,Fairfield,@,Charleston Southern,REG (Non-Conf),W 79-36,,12,2,4,.500,2,4,.500,0,0,.750,0,0,0,0,0,3,0,0,0,0,6,6.1,Casey Prior,https://www.sports-reference.com/cbb/players/casey-prior-1.html,fairfield,2024-25
4,22,7,2024-12-03,Fairfield,,Staten Island,REG (Non-Conf),W 94-47,,26,2,9,.222,2,9,.222,0,0,.333,0,0,0,3,3,3,0,0,1,0,6,2.5,Casey Prior,https://www.sports-reference.com/cbb/players/casey-prior-1.html,fairfield,2024-25
5,23,10,2024-12-21,Fairfield,,Mount St. Mary's,REG (Conf),W 76-61,,5,0,2,.000,0,2,.000,0,0,.000,0,0,0,1,1,0,0,0,0,1,0,-1.5,Casey Prior,https://www.sports-reference.com/cbb/players/casey-prior-1.html,fairfield,2024-25
6,24,11,2025-01-02,Fairfield,@,Rider,REG (Conf),W 69-37,,9,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,1,0,0,0,0,0,0.0,Casey Prior,https://www.sports-reference.com/cbb/players/casey-prior-1.html,fairfield,2024-25
7,25,12,2025-01-04,Fairfield,,Merrimack,REG (Conf),W 72-48,,20,1,5,.200,1,5,.200,0,0,.300,0,0,1,1,2,0,1,0,0,2,3,1.1,Casey Prior,https://www.sports-reference.com/cbb/players/casey-prior-1.html,fairfield,2024-25
8,26,14,2025-01-11,Fairfield,,Marist,REG (Conf),W 70-31,,9,0,2,.000,0,2,.000,0,0,.000,0,0,0,1,1,1,0,0,0,3,0,-1.6,Casey Prior,https://www.sports-reference.com/cbb/players/casey-prior-1.html,fairfield,2024-25
9,27,15,2025-01-16,Fairfield,@,Niagara,REG (Conf),W 96-49,,6,2,4,.500,2,4,.500,0,0,.750,0,0,0,1,1,0,0,0,0,2,6,3.5,Casey Prior,https://www.sports-reference.com/cbb/players/casey-prior-1.html,fairfield,2024-25
10,28,16,2025-01-18,Fairfield,@,Canisius,REG (Conf),W 97-51,,5,2,2,1.000,2,2,1.000,0,0,1.500,0,0,0,0,0,0,0,0,0,0,6,5.4,Casey Prior,https://www.sports-reference.com/cbb/players/casey-prior-1.html,fairfield,2024-25
11,29,21,2025-02-06,Fairfield,@,Marist,REG (Conf),W 80-49,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Casey Prior,https://www.sports-reference.com/cbb/players/casey-prior-1.html,fairfield,2024-25
12,30,23,2025-02-13,Fairfield,,Saint Peter's,REG (Conf),W 73-43,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Casey Prior,https://www.sports-reference.com/cbb/players/casey-prior-1.html,fairfield,2024-25
13,31,24,2025-02-15,Fairfield,@,Manhattan,REG (Conf),W 84-45,,3,0,2,.000,0,2,.000,0,0,.000,0,0,0,0,0,0,0,0,0,0,0,-1.4,Casey Prior,https://www.sports-reference.com/cbb/players/casey-prior-1.html,fairfield,2024-25
