ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,17,1,2024-11-04,Fresno State,,Fresno Pacific,REG (Non-Conf),W 72-46,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Alannah Chatfield,https://www.sports-reference.com/cbb/players/alannah-chatfield-1.html,fresno-state,2024-25
2,18,6,2024-11-22,Fresno State,,Cal State Northridge,REG (Non-Conf),W 90-73,,3,1,1,1.000,1,1,1.000,0,0,1.500,0,0,0,0,0,0,0,0,0,0,3,2.7,Alannah Chatfield,https://www.sports-reference.com/cbb/players/alannah-chatfield-1.html,fresno-state,2024-25
3,19,8,2024-11-30,Fresno State,N,UCLA,REG (Non-Conf),L 41-97,,4,1,1,1.000,1,1,1.000,0,0,1.500,0,0,0,1,1,0,0,0,0,1,3,2.6,Alannah Chatfield,https://www.sports-reference.com/cbb/players/alannah-chatfield-1.html,fresno-state,2024-25
4,20,10,2024-12-05,Fresno State,,UC Merced,REG (Non-Conf),W 83-60,,7,1,1,1.000,1,1,1.000,0,0,1.500,0,0,0,0,0,0,0,0,0,0,3,2.7,Alannah Chatfield,https://www.sports-reference.com/cbb/players/alannah-chatfield-1.html,fresno-state,2024-25
5,21,11,2024-12-10,Fresno State,@,Southern California,REG (Non-Conf),L 40-89,,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Alannah Chatfield,https://www.sports-reference.com/cbb/players/alannah-chatfield-1.html,fresno-state,2024-25
6,22,12,2024-12-14,Fresno State,,Cal State Bakersfield,REG (Non-Conf),W 65-46,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Alannah Chatfield,https://www.sports-reference.com/cbb/players/alannah-chatfield-1.html,fresno-state,2024-25
7,23,16,2025-01-08,Fresno State,@,San Jose State,REG (Conf),W 77-64,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Alannah Chatfield,https://www.sports-reference.com/cbb/players/alannah-chatfield-1.html,fresno-state,2024-25
8,24,18,2025-01-15,Fresno State,,Utah State,REG (Conf),W 74-54,,2,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Alannah Chatfield,https://www.sports-reference.com/cbb/players/alannah-chatfield-1.html,fresno-state,2024-25
9,25,19,2025-01-18,Fresno State,@,Air Force,REG (Conf),L 36-65,,2,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0,0,0.7,Alannah Chatfield,https://www.sports-reference.com/cbb/players/alannah-chatfield-1.html,fresno-state,2024-25
10,26,20,2025-01-22,Fresno State,,UNLV,REG (Conf),L 48-73,,4,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,1,0,0,0,0,0,0.0,Alannah Chatfield,https://www.sports-reference.com/cbb/players/alannah-chatfield-1.html,fresno-state,2024-25
11,27,28,2025-02-19,Fresno State,@,Colorado State,REG (Conf),L 48-68,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Alannah Chatfield,https://www.sports-reference.com/cbb/players/alannah-chatfield-1.html,fresno-state,2024-25
