ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2023-11-06,Chattanooga,,King (TN),REG (Non-Conf),W 88-32,,10,1,1,1.000,0,0,1,1,1.000,1.000,0,0,0,2,2,0,0,1,2,2,2,0.2,Frode Flos Van der Schans,https://www.sports-reference.com/cbb/players/frode-flos-van-der-schans-1.html,chattanooga,2023-24
2,2,4,2023-11-15,Chattanooga,@,Tennessee Tech,REG (Non-Conf),W 70-45,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Frode Flos Van der Schans,https://www.sports-reference.com/cbb/players/frode-flos-van-der-schans-1.html,chattanooga,2023-24
3,3,5,2023-11-18,Chattanooga,,UVA Wise,REG (Non-Conf),W 75-62,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Frode Flos Van der Schans,https://www.sports-reference.com/cbb/players/frode-flos-van-der-schans-1.html,chattanooga,2023-24
4,4,15,2024-01-03,Chattanooga,,North Carolina Central,REG (Non-Conf),W 65-59,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Frode Flos Van der Schans,https://www.sports-reference.com/cbb/players/frode-flos-van-der-schans-1.html,chattanooga,2023-24
5,5,17,2024-01-13,Chattanooga,,Samford,REG (Conf),W 75-52,,4,0,0,,0,0,0,0,,,0,0,0,0,0,0,1,0,0,0,0,1.0,Frode Flos Van der Schans,https://www.sports-reference.com/cbb/players/frode-flos-van-der-schans-1.html,chattanooga,2023-24
6,6,19,2024-01-25,Chattanooga,@,UNC Greensboro,REG (Conf),W 73-55,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Frode Flos Van der Schans,https://www.sports-reference.com/cbb/players/frode-flos-van-der-schans-1.html,chattanooga,2023-24
7,7,25,2024-02-17,Chattanooga,@,East Tennessee State,REG (Conf),W 56-41,,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Frode Flos Van der Schans,https://www.sports-reference.com/cbb/players/frode-flos-van-der-schans-1.html,chattanooga,2023-24
8,8,28,2024-02-29,Chattanooga,@,Furman,REG (Conf),W 60-53,,5,0,1,.000,0,0,0,1,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Frode Flos Van der Schans,https://www.sports-reference.com/cbb/players/frode-flos-van-der-schans-1.html,chattanooga,2023-24
9,9,31,2024-03-08,Chattanooga,N,Mercer,CTOURN,W 66-55,,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Frode Flos Van der Schans,https://www.sports-reference.com/cbb/players/frode-flos-van-der-schans-1.html,chattanooga,2023-24
10,10,33,2024-03-23,Chattanooga,@,NC State,ROUND-64,L 45-64,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Frode Flos Van der Schans,https://www.sports-reference.com/cbb/players/frode-flos-van-der-schans-1.html,chattanooga,2023-24
