ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,22,1,2023-11-06,Buffalo,,Canisius,REG (Non-Conf),W 69-60,,5,0,0,0,0,0,0,1,2,.500,0,0,0,0,0,0,1,1,1,-0.8,Katie Burton,https://www.sports-reference.com/cbb/players/katie-burton-1.html,buffalo,2023-24
2,23,3,2023-11-14,Buffalo,,Niagara,REG (Non-Conf),W 92-75,,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Katie Burton,https://www.sports-reference.com/cbb/players/katie-burton-1.html,buffalo,2023-24
