ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,2,2023-11-11,Stony Brook,@,Le Moyne,REG (Non-Conf),W 82-61,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Hannah Simmons,https://www.sports-reference.com/cbb/players/hannah-simmons-1.html,stony-brook,2023-24
2,2,5,2023-11-22,Stony Brook,,Delaware State,REG (Non-Conf),W 86-41,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Hannah Simmons,https://www.sports-reference.com/cbb/players/hannah-simmons-1.html,stony-brook,2023-24
3,3,9,2023-12-11,Stony Brook,,Longwood,REG (Non-Conf),W 85-49,,1,1,1,1.000,0,0,1,1,1.000,1.000,0,0,0,0,0,0,0,0,0,0,2,1.7,Hannah Simmons,https://www.sports-reference.com/cbb/players/hannah-simmons-1.html,stony-brook,2023-24
4,4,11,2023-12-30,Stony Brook,@,Cornell,REG (Non-Conf),W 81-56,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Hannah Simmons,https://www.sports-reference.com/cbb/players/hannah-simmons-1.html,stony-brook,2023-24
5,5,12,2024-01-05,Stony Brook,,Campbell,REG (Conf),W 73-43,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Hannah Simmons,https://www.sports-reference.com/cbb/players/hannah-simmons-1.html,stony-brook,2023-24
6,6,20,2024-02-04,Stony Brook,@,Monmouth,REG (Conf),W 78-62,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Hannah Simmons,https://www.sports-reference.com/cbb/players/hannah-simmons-1.html,stony-brook,2023-24
7,7,23,2024-02-16,Stony Brook,,Hofstra,REG (Conf),W 81-48,,0,0,0,,0,0,0,0,,,0,0,0,1,1,0,0,0,0,0,0,0.3,Hannah Simmons,https://www.sports-reference.com/cbb/players/hannah-simmons-1.html,stony-brook,2023-24
8,8,24,2024-02-18,Stony Brook,,Elon,REG (Conf),W 61-32,,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Hannah Simmons,https://www.sports-reference.com/cbb/players/hannah-simmons-1.html,stony-brook,2023-24
9,9,28,2024-03-07,Stony Brook,@,Hampton,REG (Conf),W 71-35,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Hannah Simmons,https://www.sports-reference.com/cbb/players/hannah-simmons-1.html,stony-brook,2023-24
10,10,31,2024-03-16,Stony Brook,N,North Carolina A&T,CTOURN,W 59-51,,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,0,0.7,Hannah Simmons,https://www.sports-reference.com/cbb/players/hannah-simmons-1.html,stony-brook,2023-24
11,11,33,2024-03-21,Stony Brook,@,James Madison,WBIT,W 81-70,,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Hannah Simmons,https://www.sports-reference.com/cbb/players/hannah-simmons-1.html,stony-brook,2023-24
12,12,34,2024-03-24,Stony Brook,@,Illinois,WBIT,L 62-79,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Hannah Simmons,https://www.sports-reference.com/cbb/players/hannah-simmons-1.html,stony-brook,2023-24
