ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,2,2021-11-14,Kansas City,,Southern Illinois,REG (Non-Conf),W 67-46,,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Landry Williams,https://www.sports-reference.com/cbb/players/landry-williams-1.html,missouri-kansas-city,2021-22
2,2,4,2021-11-20,Kansas City,,Grand Canyon,REG (Non-Conf),W 89-62,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Landry Williams,https://www.sports-reference.com/cbb/players/landry-williams-1.html,missouri-kansas-city,2021-22
3,3,6,2021-11-27,Kansas City,,Grambling State,REG (Non-Conf),W 78-55,,4,2,3,.667,2,3,.667,0,0,1.000,0,0,0,0,0,0,0,0,1,1,6,3.3,Landry Williams,https://www.sports-reference.com/cbb/players/landry-williams-1.html,missouri-kansas-city,2021-22
4,4,8,2021-12-02,Kansas City,,Haskell (KS),REG (Non-Conf),W 95-38,,7,1,3,.333,1,3,.333,0,0,.500,0,0,0,2,2,0,0,0,0,0,3,1.9,Landry Williams,https://www.sports-reference.com/cbb/players/landry-williams-1.html,missouri-kansas-city,2021-22
5,5,9,2021-12-08,Kansas City,,Baker,REG (Non-Conf),W 93-44,,4,1,1,1.000,1,1,1.000,0,0,1.500,0,0,0,0,0,0,0,0,1,0,3,1.7,Landry Williams,https://www.sports-reference.com/cbb/players/landry-williams-1.html,missouri-kansas-city,2021-22
6,6,23,2022-02-05,Kansas City,@,Western Illinois,REG (Conf),W 87-85 (OT),,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Landry Williams,https://www.sports-reference.com/cbb/players/landry-williams-1.html,missouri-kansas-city,2021-22
7,7,25,2022-02-14,Kansas City,,St. Thomas,REG (Conf),W 69-53,,2,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Landry Williams,https://www.sports-reference.com/cbb/players/landry-williams-1.html,missouri-kansas-city,2021-22
8,8,28,2022-02-24,Kansas City,@,South Dakota,REG (Conf),L 49-71,,3,1,2,.500,1,2,.500,0,0,.750,0,0,0,0,0,1,0,0,0,0,3,2.7,Landry Williams,https://www.sports-reference.com/cbb/players/landry-williams-1.html,missouri-kansas-city,2021-22
9,9,29,2022-02-26,Kansas City,@,South Dakota State,REG (Conf),L 62-94,,3,1,2,.500,1,2,.500,0,0,.750,0,0,0,0,0,0,0,0,0,1,3,1.6,Landry Williams,https://www.sports-reference.com/cbb/players/landry-williams-1.html,missouri-kansas-city,2021-22
10,10,31,2022-03-07,Kansas City,@,South Dakota,CTOURN,L 67-81,,2,1,1,1.000,1,1,1.000,0,0,1.500,0,0,0,0,0,0,0,0,0,0,3,2.7,Landry Williams,https://www.sports-reference.com/cbb/players/landry-williams-1.html,missouri-kansas-city,2021-22
