ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,4,2021-11-20,Kansas City,,Grand Canyon,REG (Non-Conf),W 89-62,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Ava Murphy,https://www.sports-reference.com/cbb/players/ava-murphy-1.html,missouri-kansas-city,2021-22
2,2,6,2021-11-27,Kansas City,,Grambling State,REG (Non-Conf),W 78-55,,4,0,0,,0,0,,0,0,,0,0,1,0,1,0,0,0,0,2,0,-0.1,Ava Murphy,https://www.sports-reference.com/cbb/players/ava-murphy-1.html,missouri-kansas-city,2021-22
3,3,8,2021-12-02,Kansas City,,Haskell (KS),REG (Non-Conf),W 95-38,,7,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,1,0,0,-1.0,Ava Murphy,https://www.sports-reference.com/cbb/players/ava-murphy-1.html,missouri-kansas-city,2021-22
4,4,9,2021-12-08,Kansas City,,Baker,REG (Non-Conf),W 93-44,,5,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Ava Murphy,https://www.sports-reference.com/cbb/players/ava-murphy-1.html,missouri-kansas-city,2021-22
