ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,18,2,2023-11-09,Middle Tennessee,,Florida A&M,REG (Non-Conf),W 93-48,,15,1,3,.333,1,3,.333,0,0,.500,0,0,0,0,0,1,0,0,1,1,3,0.6,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2023-24
2,19,3,2023-11-12,Middle Tennessee,,Princeton,REG (Non-Conf),L 60-65,,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2023-24
3,20,7,2023-11-26,Middle Tennessee,@,SIU Edwardsville,REG (Non-Conf),W 81-74,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,0,0,1.0,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2023-24
4,21,9,2023-12-03,Middle Tennessee,@,Belmont,REG (Non-Conf),L 57-71,,8,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2023-24
5,22,12,2023-12-17,Middle Tennessee,,Stephen F. Austin,REG (Non-Conf),W 72-47,,5,0,2,.000,0,2,.000,0,0,.000,0,0,0,1,1,0,1,0,0,0,0,-0.1,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2023-24
6,23,13,2023-12-20,Middle Tennessee,,Northern Kentucky,REG (Non-Conf),W 83-42,,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2023-24
7,24,16,2024-01-13,Middle Tennessee,@,Sam Houston State,REG (Conf),W 87-55,,5,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2023-24
8,25,18,2024-01-20,Middle Tennessee,,New Mexico State,REG (Conf),W 85-48,,5,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2023-24
9,26,28,2024-03-02,Middle Tennessee,,Sam Houston State,REG (Conf),W 93-62,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2023-24
10,27,30,2024-03-09,Middle Tennessee,,Louisiana Tech,REG (Conf),W 79-58,,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2023-24
11,28,32,2024-03-15,Middle Tennessee,N,Louisiana Tech,REG (Non-Conf),W 62-56,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2023-24
12,29,35,2024-03-24,Middle Tennessee,@,Louisiana State,ROUND-32,L 56-83,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Gracie Dodgen,https://www.sports-reference.com/cbb/players/gracie-dodgen-1.html,middle-tennessee,2023-24
