ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,15,2022-12-31,DePaul,,Creighton,REG (Conf),L 82-92,,3,0,0,,0,0,,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0.7,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2022-23
2,2,16,2023-01-04,DePaul,,Marquette,REG (Conf),L 63-72,,28,0,3,.000,0,2,.000,0,1,.000,.000,0,0,0,0,0,3,0,0,1,2,0,-1.8,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2022-23
3,3,17,2023-01-11,DePaul,,Villanova,REG (Conf),L 64-71,,11,0,2,.000,0,1,.000,0,1,.000,.000,0,0,1,0,1,2,1,0,0,1,0,1.3,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2022-23
4,4,18,2023-01-14,DePaul,@,Xavier,REG (Conf),W 91-56,,20,0,3,.000,0,2,.000,0,1,.000,.000,0,0,0,0,0,3,0,0,1,4,0,-2.6,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2022-23
5,5,19,2023-01-18,DePaul,@,Georgetown,REG (Conf),L 73-87,,14,0,1,.000,0,1,.000,0,0,,.000,0,0,0,0,0,0,0,0,1,2,0,-2.5,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2022-23
6,6,20,2023-01-21,DePaul,,St. John's (NY),REG (Conf),L 72-81,*,31,1,3,.333,1,2,.500,0,1,.000,.500,0,0,0,1,1,3,0,0,4,1,3,-0.7,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2022-23
7,7,21,2023-01-23,DePaul,@,Connecticut,REG (Conf),L 51-94,,36,3,7,.429,3,7,.429,0,0,,.643,0,0,1,2,3,4,0,0,1,1,9,8.0,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2022-23
8,8,28,2023-02-18,DePaul,@,Providence,REG (Conf),W 86-64,,5,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,0,0,0,0,0,0,1,0,3,1.7,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2022-23
9,9,29,2023-02-21,DePaul,@,Villanova,REG (Conf),L 64-67,,11,0,1,.000,0,1,.000,0,0,,.000,0,0,0,1,1,0,0,0,1,0,0,-1.4,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2022-23
10,10,30,2023-02-25,DePaul,,Connecticut,REG (Conf),L 69-72,,8,0,0,,0,0,,0,0,,,0,0,0,0,0,2,0,0,0,1,0,1.0,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2022-23
11,11,31,2023-02-27,DePaul,@,Marquette,REG (Conf),L 80-98,,5,0,3,.000,0,2,.000,0,1,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-2.1,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2022-23
12,12,32,2023-03-03,DePaul,N,Providence,CTOURN,W 67-54,,6,0,0,,0,0,,0,0,,,0,0,0,1,1,1,0,0,0,0,0,1.0,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2022-23
13,13,33,2023-03-04,DePaul,N,Villanova,CTOURN,L 70-71,,3,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Maeve McErlane,https://www.sports-reference.com/cbb/players/maeve-mcerlane-1.html,depaul,2022-23
