ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,32,1,2022-11-09,Abilene Christian,,Howard Payne,REG (Non-Conf),W 89-37,,8,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,1,1,2,0,0,1,0,4,2,1.8,Brooke Jessen,https://www.sports-reference.com/cbb/players/brooke-jessen-1.html,abilene-christian,2022-23
2,33,2,2022-11-13,Abilene Christian,@,Rice,REG (Non-Conf),L 69-85,,13,2,4,.500,1,3,.333,1,1,1.000,.625,0,0,0,1,1,0,0,0,0,0,5,3.3,Brooke Jessen,https://www.sports-reference.com/cbb/players/brooke-jessen-1.html,abilene-christian,2022-23
3,34,3,2022-11-16,Abilene Christian,,Univ of the SW,REG (Non-Conf),W 77-36,,14,1,4,.250,0,1,.000,1,3,.333,.250,0,0,2,1,3,2,1,0,0,0,2,3.7,Brooke Jessen,https://www.sports-reference.com/cbb/players/brooke-jessen-1.html,abilene-christian,2022-23
4,35,4,2022-11-20,Abilene Christian,@,UTSA,REG (Non-Conf),L 70-76,,3,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Brooke Jessen,https://www.sports-reference.com/cbb/players/brooke-jessen-1.html,abilene-christian,2022-23
5,36,6,2022-11-27,Abilene Christian,N,Louisiana,REG (Non-Conf),L 38-54,,2,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Brooke Jessen,https://www.sports-reference.com/cbb/players/brooke-jessen-1.html,abilene-christian,2022-23
6,37,7,2022-12-02,Abilene Christian,,Alabama State,REG (Non-Conf),W 78-67,,4,0,0,,0,0,,0,0,,,0,0,1,0,1,0,0,0,0,0,0,0.7,Brooke Jessen,https://www.sports-reference.com/cbb/players/brooke-jessen-1.html,abilene-christian,2022-23
7,38,8,2022-12-07,Abilene Christian,@,New Mexico,REG (Non-Conf),L 61-71,,4,0,1,.000,0,0,,0,1,.000,.000,0,0,0,0,0,0,1,0,1,2,0,-1.5,Brooke Jessen,https://www.sports-reference.com/cbb/players/brooke-jessen-1.html,abilene-christian,2022-23
8,39,10,2022-12-19,Abilene Christian,,Nicholls State,REG (Non-Conf),W 76-36,,5,0,0,,0,0,,0,0,,,0,0,1,0,1,0,0,0,2,0,0,-1.3,Brooke Jessen,https://www.sports-reference.com/cbb/players/brooke-jessen-1.html,abilene-christian,2022-23
9,40,11,2022-12-21,Abilene Christian,,McMurry,REG (Non-Conf),W 82-52,,7,2,2,1.000,0,0,,2,2,1.000,1.000,0,0,1,1,2,0,1,0,0,2,4,4.6,Brooke Jessen,https://www.sports-reference.com/cbb/players/brooke-jessen-1.html,abilene-christian,2022-23
10,41,12,2022-12-29,Abilene Christian,@,Tarleton State,REG (Conf),W 61-43,,2,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,0,0,0,0,0,1,0,0,2,2.4,Brooke Jessen,https://www.sports-reference.com/cbb/players/brooke-jessen-1.html,abilene-christian,2022-23
11,42,15,2023-01-07,Abilene Christian,,UT Arlington,REG (Conf),W 92-72,,5,0,0,,0,0,,0,0,,,0,0,0,1,1,0,0,0,0,2,0,-0.5,Brooke Jessen,https://www.sports-reference.com/cbb/players/brooke-jessen-1.html,abilene-christian,2022-23
12,43,17,2023-01-14,Abilene Christian,@,Utah Valley,REG (Conf),W 71-50,,10,2,3,.667,1,1,1.000,1,2,.500,.833,0,0,0,1,1,0,0,0,0,0,5,4.0,Brooke Jessen,https://www.sports-reference.com/cbb/players/brooke-jessen-1.html,abilene-christian,2022-23
13,44,21,2023-02-04,Abilene Christian,,Stephen F. Austin,REG (Conf),L 53-66,,2,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Brooke Jessen,https://www.sports-reference.com/cbb/players/brooke-jessen-1.html,abilene-christian,2022-23
14,45,22,2023-02-06,Abilene Christian,,Utah Valley,REG (Conf),W 73-46,,12,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,2,3,5,2,0,0,2,2,2,1.2,Brooke Jessen,https://www.sports-reference.com/cbb/players/brooke-jessen-1.html,abilene-christian,2022-23
15,46,25,2023-02-16,Abilene Christian,,Tarleton State,REG (Conf),W 78-60,,1,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,0,0,0,0,0,0,0,0,2,1.7,Brooke Jessen,https://www.sports-reference.com/cbb/players/brooke-jessen-1.html,abilene-christian,2022-23
16,47,30,2023-03-06,Abilene Christian,N,Sam Houston State,CTOURN,L 81-82,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Brooke Jessen,https://www.sports-reference.com/cbb/players/brooke-jessen-1.html,abilene-christian,2022-23
