CLASS,RK,NAME,STARS,COLLEGE,POS,HT,SCHOOL
2016,1,Lauren Cox,5,Baylor,F,6-4,Flower Mound H.S. (TX)
2016,2,Joyner Holmes,5,Texas,F,6-3,Cedar Hill H.S. (TX)
2016,3,Crystal Dangerfield,5,Connecticut,PG,5-6,Blackman H.S. (TN)
2016,4,Sabrina Ionescu,5,Oregon,G,5-10,Miramonte H.S. (CA)
2016,5,Erin Boley,5,Notre Dame,F,6-2,Elizabethtown H.S. (KY)
2016,6,Alecia Sutton,5,Texas,PG,5-8,Parkway North H.S. (MO)
2016,7,Destiny Slocum,5,Maryland,PG,5-7,Mountain View H.S. (ID)
2016,8,Natalie Chou,5,Baylor,G,6-1,Plano West H.S. (TX)
2016,9,Leaonna Odom,5,Duke,W,6-1,Chaminade College Prep (CA)
2016,10,Tori McCoy,5,Ohio State,F,6-4,H.S. of Saint Thomas More (IL)
2016,11,Jackie Young,5,Notre Dame,G,5-11,Princeton Community H.S. (IN)
2016,12,Amber Ramirez,5,TCU,PG,5-8,Karen Wagner H.S. (TX)
2016,13,Ciera Johnson,5,Louisville,P,6-4,Duncanville H.S. (TX)
2016,14,Sierra Campisano,5,Oregon,F,6-3,Torrey Pines H.S. (CA)
2016,15,Valerie Higgins,5,USC,W,6-1,Chaminade College Prep (CA)
2016,16,Jenna Staiti,5,Maryland,P,6-5,West Forsyth H.S. (GA)
2016,17,Kylee Shook,5,Louisville,P,6-4,Mesa Ridge H.S. (CO)
2016,18,Calveion Landrum,5,Baylor,PG,5-10,La Vega H.S. (TX)
2016,19,Nancy Mulkey,5,Oklahoma,P,6-9,Cypress Woods H.S. (TX)
2016,20,Ae'Rianna Harris,5,Purdue,F,6-1,Lawrence North H.S. (IN)
2016,21,Nicole Ekhomu,5,Florida State,G,5-9,Joliet Catholic Academy (IL)
2016,22,Kaila Charles,5,Maryland,W,5-11,Riverdale Baptist H.S. (MD)
2016,23,A'Tyanna Gaulden,5,Florida State,PG,5-7,Sumter County Comp H.S. (GA)
2016,24,Kiara Lewis,5,Ohio State,PG,5-8,Whitney Young H.S. (IL)
2016,25,Jasmine Walker,5,Florida State,P,6-3,Jefferson Davis H.S. (AL)
