ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,38,4,2024-11-16,Elon,,Kent State,REG (Non-Conf),W 66-63,,3,0,1,.000,0,0,0,1,.000,.000,0,0,2,0,2,0,0,0,0,0,0,0.7,Aly Wadkovsky,https://www.sports-reference.com/cbb/players/aly-wadkovsky-1.html,elon,2024-25
2,39,5,2024-11-23,Elon,@,Virginia Tech,REG (Non-Conf),L 69-87,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,1,0,1,0,0,0.0,Aly Wadkovsky,https://www.sports-reference.com/cbb/players/aly-wadkovsky-1.html,elon,2024-25
3,40,6,2024-11-26,Elon,@,Longwood,REG (Non-Conf),W 74-67,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,-1.4,Aly Wadkovsky,https://www.sports-reference.com/cbb/players/aly-wadkovsky-1.html,elon,2024-25
4,41,8,2024-12-08,Elon,@,East Carolina,REG (Non-Conf),L 43-60,,3,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Aly Wadkovsky,https://www.sports-reference.com/cbb/players/aly-wadkovsky-1.html,elon,2024-25
5,42,9,2024-12-15,Elon,@,Southern California,REG (Non-Conf),L 30-88,,8,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2,0,-0.8,Aly Wadkovsky,https://www.sports-reference.com/cbb/players/aly-wadkovsky-1.html,elon,2024-25
6,43,11,2024-12-31,Elon,,Lees-McRae,REG (Non-Conf),W 97-53,,6,0,2,.000,0,0,0,2,.000,.000,0,0,1,0,1,0,0,0,0,0,0,-0.7,Aly Wadkovsky,https://www.sports-reference.com/cbb/players/aly-wadkovsky-1.html,elon,2024-25
7,44,12,2025-01-03,Elon,@,North Carolina A&T,REG (Conf),L 40-57,,3,0,1,.000,0,0,0,1,.000,.000,0,0,1,0,1,0,0,0,0,1,0,-0.4,Aly Wadkovsky,https://www.sports-reference.com/cbb/players/aly-wadkovsky-1.html,elon,2024-25
8,45,18,2025-01-26,Elon,@,Drexel,REG (Conf),L 37-64,,3,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Aly Wadkovsky,https://www.sports-reference.com/cbb/players/aly-wadkovsky-1.html,elon,2024-25
9,46,20,2025-02-02,Elon,,Monmouth,REG (Conf),L 47-62,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,0,0.7,Aly Wadkovsky,https://www.sports-reference.com/cbb/players/aly-wadkovsky-1.html,elon,2024-25
10,47,26,2025-02-28,Elon,@,College of Charleston,REG (Conf),L 51-91,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Aly Wadkovsky,https://www.sports-reference.com/cbb/players/aly-wadkovsky-1.html,elon,2024-25
