ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,18,1,2024-11-04,St. Mary's (CA),@,California,REG (Non-Conf),L 58-90,*,15,2,2,1.000,0,0,2,2,1.000,1.000,0,0,1,0,1,0,1,0,3,4,4,0.5,Nadia Bernard,https://www.sports-reference.com/cbb/players/nadia-bernard-1.html,saint-marys-ca,2024-25
2,19,2,2024-11-09,St. Mary's (CA),,Denver,REG (Non-Conf),W 69-64,*,9,1,3,.333,0,0,1,3,.333,.333,0,0,0,1,1,0,0,1,3,1,2,-2.1,Nadia Bernard,https://www.sports-reference.com/cbb/players/nadia-bernard-1.html,saint-marys-ca,2024-25
3,20,3,2024-11-14,St. Mary's (CA),@,UC San Diego,REG (Non-Conf),W 74-65 (2OT),,8,0,2,.000,0,0,0,2,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-1.4,Nadia Bernard,https://www.sports-reference.com/cbb/players/nadia-bernard-1.html,saint-marys-ca,2024-25
4,21,4,2024-11-16,St. Mary's (CA),@,UC Irvine,REG (Non-Conf),L 61-64,,6,1,1,1.000,0,0,1,1,1.000,1.000,0,0,1,0,1,0,0,0,2,0,2,0.4,Nadia Bernard,https://www.sports-reference.com/cbb/players/nadia-bernard-1.html,saint-marys-ca,2024-25
5,22,5,2024-11-22,St. Mary's (CA),N,Eastern Washington,REG (Non-Conf),W 59-57,,7,0,1,.000,0,0,0,1,.000,.000,0,0,0,3,3,0,0,0,2,2,0,-2.6,Nadia Bernard,https://www.sports-reference.com/cbb/players/nadia-bernard-1.html,saint-marys-ca,2024-25
6,23,6,2024-11-24,St. Mary's (CA),N,Louisiana–Monroe,REG (Non-Conf),W 68-61,,3,0,0,,0,0,0,0,,,0,0,0,1,1,0,0,0,0,0,0,0.3,Nadia Bernard,https://www.sports-reference.com/cbb/players/nadia-bernard-1.html,saint-marys-ca,2024-25
7,24,7,2024-11-30,St. Mary's (CA),,UC Riverside,REG (Non-Conf),L 41-49,,2,0,0,,0,0,0,0,,,0,0,0,1,1,0,0,0,0,0,0,0.3,Nadia Bernard,https://www.sports-reference.com/cbb/players/nadia-bernard-1.html,saint-marys-ca,2024-25
8,25,8,2024-12-04,St. Mary's (CA),@,San Jose State,REG (Non-Conf),L 46-51,,3,0,0,,0,0,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0.7,Nadia Bernard,https://www.sports-reference.com/cbb/players/nadia-bernard-1.html,saint-marys-ca,2024-25
9,26,9,2024-12-07,St. Mary's (CA),,California Baptist,REG (Non-Conf),L 68-71,,2,0,3,.000,0,0,0,3,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-2.1,Nadia Bernard,https://www.sports-reference.com/cbb/players/nadia-bernard-1.html,saint-marys-ca,2024-25
10,27,11,2024-12-21,St. Mary's (CA),,Loyola Marymount,REG (Conf),W 59-54,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Nadia Bernard,https://www.sports-reference.com/cbb/players/nadia-bernard-1.html,saint-marys-ca,2024-25
